creator_name,terminator_name,total_steps,initial_time,initial_position_x,initial_position_y,initial_position_z,initial_momentum_x,initial_momentum_y,initial_momentum_z,initial_magnetic_field_x,initial_magnetic_field_y,initial_magnetic_field_z,initial_electric_field_x,initial_electric_field_y,initial_electric_field_z,initial_electric_potential,initial_kinetic_energy,initial_orbital_magnetic_moment,initial_polar_angle_to_z,initial_polar_angle_to_b,final_time,final_position_x,final_position_y,final_position_z,final_momentum_x,final_momentum_y,final_momentum_z,final_magnetic_field_x,final_magnetic_field_y,final_magnetic_field_z,final_electric_field_x,final_electric_field_y,final_electric_field_z,final_electric_potential,final_kinetic_energy,final_orbital_magnetic_moment,final_polar_angle_to_z,final_polar_angle_to_b
generator_uniform,term_max_z,313,0.0,0.0,0.0,0.0,-3.12215804528e-22,6.26075111471e-23,3.49772254923e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,5.56560271433e-14,42.3145948779,42.3145948779,1.565e-09,0.00103559658579,-0.000564641320139,0.300455599165,-2.21750297428e-22,2.28528365577e-22,3.49772254923e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.998687,5.56560267227e-14,42.3145947701,42.3145947701
generator_uniform,term_max_z,250,0.0,0.0,0.0,0.0,7.18708916419e-23,1.63373320939e-22,4.38044258384e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.7485415016e-14,22.1686751491,22.1686751491,1.25e-09,-0.00202566847432,0.000927149885665,0.300544377873,-7.66748870186e-23,-1.61174527773e-22,4.38044258384e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.999387,1.74854148195e-14,22.1686750366,22.1686750366
generator_uniform,term_max_z,458,0.0,0.0,0.0,0.0,-3.07565262373e-22,2.68382728415e-22,2.38984015853e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,9.14582726659e-14,59.6526957864,59.6526957864,2.29e-09,-0.000695390260426,0.00043219709282,0.300389633712,-3.76810866218e-22,1.5696893297e-22,2.38984015853e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.991928,9.14582700795e-14,59.6526954332,59.6526954332
generator_uniform,term_max_z,1016,0.0,0.0,0.0,0.0,4.43843833757e-22,1.23128432736e-22,1.07615424781e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.16450240937e-13,76.8493836995,76.8493836995,5.08e-09,0.00149110178241,0.000992873725691,0.300067415713,2.84767935701e-22,3.62029260698e-22,1.07615424781e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.005299,1.16450242635e-13,76.8493837921,76.8493837921
generator_uniform,term_max_z,732,0.0,0.0,0.0,0.0,-3.48795103987e-22,2.82373729741e-22,1.49486091492e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.1054149148e-13,71.5769249272,71.5769249272,3.66e-09,-0.0036526461888,-0.00010996501464,0.300304939525,-3.3117676743e-22,-3.02844669868e-22,1.49486091492e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.995785,1.1054149013e-13,71.5769248223,71.5769248223
generator_uniform,term_max_z,470,0.0,0.0,0.0,0.0,1.52704529519e-22,-3.82304850864e-22,2.32944987138e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,9.30225898789e-14,60.4967408702,60.4967408702,2.35e-09,-6.55264370895e-05,0.00172213574654,0.300470497242,-1.23212017939e-22,-3.92803342824e-22,2.32944987138e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.991724,9.30225872269e-14,60.4967405201,60.4967405201
generator_uniform,term_max_z,367,0.0,0.0,0.0,0.0,1.32277331386e-22,3.42380500989e-22,2.98357737468e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,7.39466689302e-14,50.8935396741,50.8935396741,1.835e-09,-0.00376292002327,-0.000788257196586,0.300506574046,2.58570049384e-22,-2.60505713566e-22,2.98357737468e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.995517,7.39466674935e-14,50.8935394017,50.8935394017
generator_uniform,term_max_z,289,0.0,0.0,0.0,0.0,2.5089835949e-22,-1.29983482351e-22,3.79332765371e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,4.38260725149e-14,36.6828945822,36.6828945822,1.445e-09,0.00222814413209,0.000515728699182,0.300863017584,1.68269517722e-22,2.27004541037e-22,3.79332765371e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.999601,4.38260723871e-14,36.6828945422,36.6828945422
generator_uniform,term_max_r,7,0.0,0.0,0.0,0.0,-4.50286514996e-22,1.42430299677e-22,2.6357228788e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,1.22425605361e-13,86.8056941565,86.8056941565,3.5e-11,-0.00195495490481,-0.00555868716882,0.000506347177282,4.40313296954e-22,-1.70787986892e-22,2.6357228788e-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.00015,1.22425605409e-13,86.8056941571,86.8056941571
generator_uniform,term_max_z,290,0.0,0.0,0.0,0.0,1.40541184474e-22,-2.47900490389e-22,3.77534848318e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,511000.0,4.45729865756e-14,37.0459111231,37.0459111231,1.45e-09,0.00281767537801,-0.000367637669261,0.300473136525,1.99443228997e-22,2.03540845593e-22,3.77534848318e-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,510999.99957,4.45729864379e-14,37.0459110806,37.0459110806
